ano,genero,n,pct
2019,Feminino,326,18.5
2019,Masculino,1436,81.5
2021,Feminino,493,18.6
2021,Masculino,2144,81.1
2021,Outro,8,0.3
2022,Feminino,1056,24.8
2022,Masculino,3194,74.9
2022,Prefiro não informar,12,0.3
2023,Feminino,1293,24.4
2023,Masculino,3975,75.1
2023,Outro,9,0.2
2023,Prefiro não informar,16,0.3
2024,Feminino,1226,23.5
2024,Masculino,3968,76.1
2024,Outro,8,0.2
2024,Prefiro não informar,15,0.3
2025,Feminino,768,22.0
2025,Masculino,2707,77.5
2025,Outro,7,0.2
2025,Prefiro não informar,13,0.4
