ano,genero,cargo_grupo,n,n_salario,salario_mediano_pm,pct_do_genero
2023,Feminino,Análise de Dados,73,73,10001.0,23.8
2023,Feminino,Ciência de Dados,54,54,14001.0,17.6
2023,Feminino,Engenharia/Arquitetura de Dados,41,41,14001.0,13.4
2023,Feminino,Outros,33,33,10001.0,10.7
2023,Feminino,Análise de Negócios,32,32,10001.0,10.4
2023,Feminino,Business Intelligence,22,22,10001.0,7.2
2023,Feminino,Produto (DPM/PM),21,21,14001.0,6.8
2023,Feminino,Analytics Engineer,12,12,14001.0,3.9
2023,Feminino,Eng. de Software,10,10,10001.0,3.3
2023,Feminino,DBA,3,3,14001.0,1.0
2023,Feminino,ML/AI Engineer,3,3,18001.0,1.0
2023,Feminino,Professor/Pesquisador,2,2,7501.0,0.7
2023,Feminino,Estatística/Economia,1,1,18001.0,0.3
2023,Masculino,Engenharia/Arquitetura de Dados,284,284,14001.0,25.7
2023,Masculino,Ciência de Dados,215,215,14001.0,19.4
2023,Masculino,Análise de Dados,195,195,10001.0,17.6
2023,Masculino,Business Intelligence,108,108,10001.0,9.8
2023,Masculino,Outros,69,69,10001.0,6.2
2023,Masculino,Analytics Engineer,57,57,14001.0,5.2
2023,Masculino,Análise de Negócios,51,51,10001.0,4.6
2023,Masculino,Eng. de Software,41,41,14001.0,3.7
2023,Masculino,Produto (DPM/PM),34,34,12001.0,3.1
2023,Masculino,ML/AI Engineer,25,25,14001.0,2.3
2023,Masculino,Professor/Pesquisador,11,11,14001.0,1.0
2023,Masculino,DBA,10,10,10001.0,0.9
2023,Masculino,Estatística/Economia,6,6,20251.0,0.5
2024,Feminino,Análise de Dados,87,87,10001.0,26.0
2024,Feminino,Ciência de Dados,69,69,14001.0,20.6
2024,Feminino,Analytics Engineer,31,31,14001.0,9.3
2024,Feminino,Engenharia/Arquitetura de Dados,31,31,14001.0,9.3
2024,Feminino,Análise de Negócios,28,28,10001.0,8.4
2024,Feminino,Produto (DPM/PM),25,25,10001.0,7.5
2024,Feminino,Outros,25,25,10001.0,7.5
2024,Feminino,Business Intelligence,24,24,10001.0,7.2
2024,Feminino,ML/AI Engineer,9,9,14001.0,2.7
2024,Feminino,Eng. de Software,4,4,10001.0,1.2
2024,Feminino,Professor/Pesquisador,1,1,7001.0,0.3
2024,Feminino,Estatística/Economia,1,1,22501.0,0.3
2024,Masculino,Engenharia/Arquitetura de Dados,315,315,14001.0,25.6
2024,Masculino,Ciência de Dados,266,266,14001.0,21.6
2024,Masculino,Análise de Dados,234,234,10001.0,19.0
2024,Masculino,Analytics Engineer,83,83,14001.0,6.8
2024,Masculino,Business Intelligence,78,78,10001.0,6.3
2024,Masculino,Outros,63,63,10001.0,5.1
2024,Masculino,Análise de Negócios,53,53,10001.0,4.3
2024,Masculino,ML/AI Engineer,49,49,18001.0,4.0
2024,Masculino,Eng. de Software,40,40,12001.0,3.3
2024,Masculino,Produto (DPM/PM),36,36,14001.0,2.9
2024,Masculino,Professor/Pesquisador,8,8,10001.0,0.7
2024,Masculino,Estatística/Economia,4,4,10001.0,0.3
2025,Feminino,Análise de Dados,42,42,10001.0,23.6
2025,Feminino,Ciência de Dados,31,31,14001.0,17.4
2025,Feminino,Engenharia/Arquitetura de Dados,25,25,10001.0,14.0
2025,Feminino,Outros,15,15,7001.0,8.4
2025,Feminino,Business Intelligence,15,15,7001.0,8.4
2025,Feminino,Analytics Engineer,13,13,14001.0,7.3
2025,Feminino,Análise de Negócios,11,11,10001.0,6.2
2025,Feminino,Produto (DPM/PM),8,8,10001.0,4.5
2025,Feminino,Eng. de Software,7,7,14001.0,3.9
2025,Feminino,ML/AI Engineer,7,7,14001.0,3.9
2025,Feminino,Professor/Pesquisador,3,3,5001.0,1.7
2025,Feminino,Estatística/Economia,1,1,18001.0,0.6
2025,Masculino,Engenharia/Arquitetura de Dados,167,167,14001.0,24.7
2025,Masculino,Análise de Dados,142,142,10001.0,21.0
2025,Masculino,Ciência de Dados,115,115,14001.0,17.0
2025,Masculino,Analytics Engineer,46,46,14001.0,6.8
2025,Masculino,Outros,45,45,10001.0,6.7
2025,Masculino,Business Intelligence,42,42,10001.0,6.2
2025,Masculino,Análise de Negócios,36,36,10001.0,5.3
2025,Masculino,Eng. de Software,34,34,14001.0,5.0
2025,Masculino,ML/AI Engineer,34,34,18001.0,5.0
2025,Masculino,Produto (DPM/PM),11,11,22501.0,1.6
2025,Masculino,Professor/Pesquisador,3,3,7001.0,0.4
