ano,genero,nivel,n,salario_medio_pm,salario_mediano_pm
2023,Feminino,Júnior,299,3694.0,3501.0
2023,Masculino,Júnior,743,3991.0,3501.0
2023,Feminino,Pleno,337,7463.0,7001.0
2023,Masculino,Pleno,1047,7573.0,7001.0
2023,Feminino,Sênior,307,12421.0,10001.0
2023,Masculino,Sênior,1106,13958.0,14001.0
2024,Feminino,Júnior,242,4149.0,3501.0
2024,Masculino,Júnior,623,4102.0,3501.0
2024,Feminino,Pleno,366,7817.0,7001.0
2024,Masculino,Pleno,1006,8134.0,7001.0
2024,Feminino,Sênior,335,12544.0,10001.0
2024,Masculino,Sênior,1229,15173.0,14001.0
2025,Feminino,Especialista/Staff+,70,17543.0,14001.0
2025,Masculino,Especialista/Staff+,276,20618.0,18001.0
2025,Feminino,Júnior,146,3781.0,3501.0
2025,Masculino,Júnior,367,4323.0,3501.0
2025,Feminino,Pleno,174,8345.0,7001.0
2025,Masculino,Pleno,599,8297.0,7001.0
2025,Feminino,Sênior,178,12166.0,10001.0
2025,Masculino,Sênior,675,15078.0,14001.0
