ano,mudar_emprego_6m,n,pct
2023,"Não estou buscando, mas me considero aberto a outras oportunidades",1761,37.1
2023,Estou em busca de oportunidades dentro ou fora do Brasil,1338,28.2
2023,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,1210,25.5
2023,"Estou em busca de oportunidades, mas apenas fora do Brasil",444,9.3
2024,"Não estou buscando, mas me considero aberto a outras oportunidades",1897,39.0
2024,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,1297,26.7
2024,Estou em busca de oportunidades dentro ou fora do Brasil,1253,25.8
2024,"Estou em busca de oportunidades, mas apenas fora do Brasil",416,8.6
2025,"Não estou buscando, mas me considero aberto a outras oportunidades",1307,40.5
2025,Estou em busca de oportunidades dentro ou fora do Brasil,818,25.3
2025,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,804,24.9
2025,"Estou em busca de oportunidades, mas apenas fora do Brasil",299,9.3
