ano,criterio,usuarios,base_valida,pct
2023,Remuneração/Salário,3846,4727,81.4
2023,Flexibilidade remota,2762,4727,58.4
2023,Plano de carreira,1585,4727,33.5
2023,Aprendizado/referências,1162,4727,24.6
2023,Benefícios,1075,4727,22.7
2023,Ambiente de trabalho,878,4727,18.6
2023,Propósito da empresa,719,4727,15.2
2023,Maturidade tech/dados,594,4727,12.6
2023,Qualidade dos gestores,349,4727,7.4
2023,Reputação da empresa,265,4727,5.6
2024,Remuneração/Salário,3941,4863,81.0
2024,Flexibilidade remota,2804,4863,57.7
2024,Plano de carreira,1543,4863,31.7
2024,Benefícios,1236,4863,25.4
2024,Aprendizado/referências,1179,4863,24.2
2024,Ambiente de trabalho,1030,4863,21.2
2024,Propósito da empresa,799,4863,16.4
2024,Maturidade tech/dados,630,4863,13.0
2024,Qualidade dos gestores,376,4863,7.7
2024,Reputação da empresa,276,4863,5.7
2025,Remuneração/Salário,2686,3228,83.2
2025,Flexibilidade remota,1827,3228,56.6
2025,Plano de carreira,1044,3228,32.3
2025,Benefícios,791,3228,24.5
2025,Aprendizado/referências,764,3228,23.7
2025,Ambiente de trabalho,691,3228,21.4
2025,Propósito da empresa,507,3228,15.7
2025,Maturidade tech/dados,350,3228,10.8
2025,Qualidade dos gestores,260,3228,8.1
2025,Reputação da empresa,182,3228,5.6
