ano,desafio,usuarios,base_valida,pct
2023,Expectativa das áreas,318,874,36.4
2023,Qualidade dos dados,270,874,30.9
2023,Gerar valor p/ negócio,267,874,30.5
2023,Tempo técnico × gestão,257,874,29.4
2023,Levar inovação,210,874,24.0
2023,Garantir ROI,199,874,22.8
2023,Projetos multidisciplinares,165,874,18.9
2023,Aumentar investimentos,148,874,16.9
2023,Contratar talentos,142,874,16.2
2023,Reter talentos,116,874,13.3
2023,Manutenção em produção,113,874,12.9
2023,Gestão remota,75,874,8.6
2023,ML em produção,69,874,7.9
2023,Alto volume de dados,46,874,5.3
2024,Expectativa das áreas,367,1045,35.1
2024,Tempo técnico × gestão,319,1045,30.5
2024,Gerar valor p/ negócio,284,1045,27.2
2024,Qualidade dos dados,283,1045,27.1
2024,Garantir ROI,262,1045,25.1
2024,Levar inovação,243,1045,23.3
2024,Projetos multidisciplinares,218,1045,20.9
2024,Aumentar investimentos,199,1045,19.0
2024,Contratar talentos,172,1045,16.5
2024,Reter talentos,165,1045,15.8
2024,Manutenção em produção,156,1045,14.9
2024,Gestão remota,101,1045,9.7
2024,Alto volume de dados,60,1045,5.7
2024,ML em produção,55,1045,5.3
2025,Tempo técnico × gestão,237,652,36.3
2025,Expectativa das áreas,217,652,33.3
2025,Projetos multidisciplinares,190,652,29.1
2025,Gerar valor p/ negócio,153,652,23.5
2025,Qualidade dos dados,141,652,21.6
2025,Manutenção em produção,133,652,20.4
2025,Levar inovação,122,652,18.7
2025,Garantir ROI,88,652,13.5
2025,Gestão remota,77,652,11.8
2025,Aumentar investimentos,71,652,10.9
2025,Reter talentos,62,652,9.5
2025,Contratar talentos,55,652,8.4
2025,Alto volume de dados,27,652,4.1
2025,ML em produção,26,652,4.0
