ano,regiao,n,n_salario,salario_medio_pm,salario_mediano_pm,pct
2023,Sudeste,3173,2890,10985.0,10001.0,61.4
2023,Sul,961,886,9542.0,7001.0,18.6
2023,Nordeste,608,501,8058.0,7001.0,11.8
2023,Centro-oeste,344,304,10316.0,10001.0,6.7
2023,Norte,83,69,7877.0,7001.0,1.6
2024,Sudeste,3132,2940,12712.0,10001.0,61.7
2024,Sul,1031,989,10447.0,10001.0,20.3
2024,Nordeste,516,447,9743.0,7001.0,10.2
2024,Centro-oeste,332,300,10165.0,7001.0,6.5
2024,Norte,64,57,8711.0,7001.0,1.3
2025,Sudeste,2171,2025,13541.0,10001.0,64.4
2025,Sul,540,510,12229.0,10001.0,16.0
2025,Nordeste,380,329,10330.0,10001.0,11.3
2025,Centro-oeste,231,221,12835.0,10001.0,6.9
2025,Norte,48,36,12681.0,10001.0,1.4
