ano,regiao,n_senior,salario_medio_pm_senior,salario_mediano_pm_senior
2023,Norte,10,12151.0,10001.0
2023,Sul,263,13257.0,10001.0
2023,Sudeste,901,13368.0,10001.0
2023,Nordeste,121,13571.0,14001.0
2023,Centro-oeste,91,14297.0,14001.0
2024,Sul,336,13126.0,10001.0
2024,Centro-oeste,77,14526.0,14001.0
2024,Sudeste,965,14635.0,14001.0
2024,Norte,19,14711.0,14001.0
2024,Nordeste,127,14749.0,14001.0
2025,Sudeste,526,13823.0,10001.0
2025,Sul,140,13847.0,14001.0
2025,Nordeste,86,14041.0,14001.0
2025,Centro-oeste,60,14867.0,10001.0
2025,Norte,12,19501.0,16001.0
