ano,cargo_grupo,n,pct
2023,Análise de Dados,907,23.5
2023,Ciência de Dados,687,17.8
2023,Engenharia/Arquitetura de Dados,684,17.7
2023,Business Intelligence,506,13.1
2023,Outros,404,10.5
2023,Análise de Negócios,195,5.1
2023,Analytics Engineer,139,3.6
2023,Eng. de Software,105,2.7
2023,Produto (DPM/PM),81,2.1
2023,ML/AI Engineer,75,1.9
2023,Professor/Pesquisador,28,0.7
2023,Estatística/Economia,26,0.7
2023,DBA,20,0.5
2024,Análise de Dados,957,25.1
2024,Ciência de Dados,687,18.0
2024,Engenharia/Arquitetura de Dados,661,17.3
2024,Business Intelligence,396,10.4
2024,Outros,362,9.5
2024,Analytics Engineer,228,6.0
2024,Análise de Negócios,184,4.8
2024,Eng. de Software,122,3.2
2024,ML/AI Engineer,103,2.7
2024,Produto (DPM/PM),80,2.1
2024,Professor/Pesquisador,21,0.6
2024,Estatística/Economia,17,0.4
2025,Análise de Dados,599,24.0
2025,Engenharia/Arquitetura de Dados,430,17.2
2025,Ciência de Dados,424,17.0
2025,Outros,287,11.5
2025,Business Intelligence,215,8.6
2025,Análise de Negócios,141,5.6
2025,Analytics Engineer,135,5.4
2025,Eng. de Software,106,4.2
2025,ML/AI Engineer,106,4.2
2025,Produto (DPM/PM),33,1.3
2025,Professor/Pesquisador,16,0.6
2025,Estatística/Economia,9,0.4
