ano,tipo,modelo,n,pct
2023,Atual,100% presencial,790,16.6
2023,Atual,100% remoto,2201,46.3
2023,Atual,Híbrido (dias fixos),790,16.6
2023,Atual,Híbrido flexível,972,20.5
2023,Ideal,100% presencial,96,2.0
2023,Ideal,100% remoto,2124,44.7
2023,Ideal,Híbrido (dias fixos),389,8.2
2023,Ideal,Híbrido flexível,2144,45.1
2024,Atual,100% presencial,792,16.3
2024,Atual,100% remoto,2222,45.7
2024,Atual,Híbrido (dias fixos),850,17.5
2024,Atual,Híbrido flexível,999,20.5
2024,Ideal,100% presencial,91,1.9
2024,Ideal,100% remoto,2238,46.0
2024,Ideal,Híbrido (dias fixos),431,8.9
2024,Ideal,Híbrido flexível,2103,43.2
2025,Atual,100% presencial,670,20.8
2025,Atual,100% remoto,1282,39.7
2025,Atual,Híbrido (dias fixos),645,20.0
2025,Atual,Híbrido flexível,631,19.5
2025,Ideal,100% presencial,60,1.9
2025,Ideal,100% remoto,1360,42.1
2025,Ideal,Híbrido (dias fixos),421,13.0
2025,Ideal,Híbrido flexível,1387,43.0
